"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"ELEV","ELEVATION ONCOLOGY INC","COM","28623U101","2,099","0.0%","1,381,416","",""
"ANNX","ANNEXON INC","COM","03589W102","2,055","0.0%","583,913","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","1,848","0.0%","3,360,052","",""
"OT10.SG","ORCHARD THERAPEUTICS PLC","SPON ADS NEW","68570P200","1,647","0.0%","316,169","",""
"QSI","QUANTUM SI INC","COM CL A","74765K105","1,427","0.0%","797,500","",""
"CALC","CALCIMEDICA INC","COM NEW","38942Q202","1,065","0.0%","265,657","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","259","0.0%","672,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","205","0.0%","836,626","",""
"NAMSW","NEWAMSTERDAM PHARMA COMPANY","*W EXP 11/22/202","N62509117","193","0.0%","92,787","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","172","0.0%","733,333","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","76","0.0%","333,333","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","34","0.0%","1,250,000","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","30","0.0%","120,000","",""
"SIEN","SIENTRA INC","COM","82621J204","29","0.0%","10,000","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","27","0.0%","166,666","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","13","0.0%","333,333","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","9","0.0%","166,666","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
