"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","NANOSTRING TECHNOLOGIES INC","NOTE 2.625% 3/0","63009RAD1","58,045","1.3%","","70,204,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","57,036","1.3%","","57,791,000",""
"OMI","OWENS & MINOR INC NEW","COM","690732102","56,271","1.3%","3,867,455","",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","48,816","1.1%","2,032,335","",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","48,397","1.1%","16,406,047","",""
"EHAB","ENHABIT INC","COM","29332G102","47,276","1.1%","3,398,746","",""
"HLVX","HILLEVAX INC","COM","43157M102","46,840","1.0%","2,833,690","",""
"","LIVONGO HEALTH INC","NOTE 0.875% 6/0","539183AA1","44,427","1.0%","","50,000,000",""
"MRUS","MERUS N V","COM","N5749R100","43,800","1.0%","2,380,438","",""
"CMAX","CAREMAX INC","COM CL A","14171W103","42,349","0.9%","15,861,090","",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","40,652","0.9%","1,579,349","",""
"ITCI","INTRA-CELLULAR THERAPIES INC","COM","46116X101","39,746","0.9%","734,000","",""
"ISEE","IVERIC BIO INC","COM","46583P102","36,606","0.8%","1,504,578","",""
"","PTC THERAPEUTICS INC","NOTE 1.500% 9/1","69366JAD3","36,310","0.8%","","32,000,000",""
"NAMS","NEWAMSTERDAM PHARMA COMPANY","ORDINARY SHARES","N62509109","33,623","0.7%","2,535,723","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","32,006","0.7%","2,966,345","",""
"EOLS","EVOLUS INC","COM","30052C107","30,193","0.7%","3,569,000","",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","29,144","0.6%","2,383,000","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","27,186","0.6%","","30,000,000",""
"LUNG","PULMONX CORP","COM","745848101","26,862","0.6%","2,402,704","",""
"DCGO","DOCGO INC","COM","256086109","26,460","0.6%","3,059,000","",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","26,234","0.6%","3,933,137","",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","25,783","0.6%","3,581,000","",""
"KRYS","KRYSTAL BIOTECH INC","COM","501147102","24,974","0.6%","311,949","",""
"TERN","TERNS PHARMACEUTICALS INC","COM","880881107","24,383","0.5%","2,059,421","",""
"IDYA","IDEAYA BIOSCIENCES INC","COM","45166A102","23,940","0.5%","1,743,628","",""
"BCRX","BIOCRYST PHARMACEUTICALS INC","COM","09058V103","23,060","0.5%","2,765,000","",""
"WGS","GENEDX HOLDINGS CORP","COM CL A","81663L101","20,875","0.5%","57,192,101","",""
"VTYX","VENTYX BIOSCIENCES INC","COM","92332V107","20,669","0.5%","617,000","",""
"VIGL","VIGIL NEUROSCIENCE INC","COM","92673K108","20,089","0.4%","2,052,010","",""
"VKTX","VIKING THERAPEUTICS INC","COM","92686J106","18,731","0.4%","1,125,000","",""
"GH","GUARDANT HEALTH INC","COM","40131M109","18,259","0.4%","778,999","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","17,972","0.4%","829,737","",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","17,348","0.4%","","18,000,000",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","16,329","0.4%","1,046,791","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","16,192","0.4%","1,600,000","",""
"","OAK STR HEALTH INC","NOTE 3/1","67181AAB3","15,185","0.3%","","15,403,000",""
"TARS","TARSUS PHARMACEUTICALS INC","COM","87650L103","14,531","0.3%","1,156,032","",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","14,146","0.3%","","15,711,000",""
"DNLI","DENALI THERAPEUTICS INC","COM","24823R105","13,708","0.3%","594,989","",""
"ANAB","ANAPTYSBIO INC","COM","032724106","13,338","0.3%","613,000","",""
"ROIV","ROIVANT SCIENCES LTD","SHS","G76279101","12,915","0.3%","1,750,000","",""
"NVTA","INVITAE CORP","COM","46185L103","12,520","0.3%","9,274,707","",""
"MLYS","MINERALYS THERAPEUTICS INC","COM","603170101","11,416","0.3%","729,021","",""
"INSM","INSMED INC","COM PAR $.01","457669307","11,228","0.3%","658,546","",""
"IOVA","IOVANCE BIOTHERAPEUTICS INC","COM","462260100","11,191","0.2%","1,831,607","",""
"PCVX","VAXCYTE INC","COM","92243G108","11,056","0.2%","295,000","",""
"PRME","PRIME MEDICINE INC","COM","74168J101","10,889","0.2%","885,314","",""
"FUSN","FUSION PHARMACEUTICALS INC","COM","36118A100","10,642","0.2%","2,823,000","",""
"VERA","VERA THERAPEUTICS INC","CL A","92337R101","10,088","0.2%","1,300,000","",""
"NUVB","NUVATION BIO INC","COM CL A","67080N101","9,719","0.2%","5,854,860","",""
"GPCR","STRUCTURE THERAPEUTICS INC","SPONSORED ADS","86366E106","8,921","0.2%","375,000","",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","7,805","0.2%","6,450,871","",""
"PACB","PACIFIC BIOSCIENCES CALIF IN","COM","69404D108","7,527","0.2%","650,000","",""
"BLUE","BLUEBIRD BIO INC","COM","09609G100","6,916","0.2%","2,175,000","",""
"ALEC","ALECTOR INC","COM","014442107","6,531","0.1%","1,055,192","",""
"CSTL","CASTLE BIOSCIENCES INC","COM","14843C105","6,182","0.1%","272,135","",""
"","NEOGENOMICS INC","NOTE 1.250% 5/0","64049MAA8","6,035","0.1%","","6,500,000",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","4,820","0.1%","777,525","",""
"CABA","CABALETTA BIO INC","COM","12674W109","3,839","0.1%","464,252","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","3,400","0.1%","455,262","",""
"ABEO","ABEONA THERAPEUTICS INC","COM NEW","00289Y206","2,452","0.1%","869,565","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","2,277","0.1%","3,360,052","",""
"ANNX","ANNEXON INC","COM","03589W102","2,248","0.1%","583,913","",""
"AFIB","ACUTUS MED INC","COM","005111109","1,999","0.0%","2,651,667","",""
"RAIN","RAIN ONCOLOGY INC","COM","75082Q105","1,987","0.0%","227,393","",""
"OT10.SG","ORCHARD THERAPEUTICS PLC","SPON ADS NEW","68570P200","1,697","0.0%","316,169","",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","1,459","0.0%","1,000,000","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","323","0.0%","672,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","239","0.0%","836,626","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","195","0.0%","733,333","",""
"NAMSW","NEWAMSTERDAM PHARMA COMPANY","*W EXP 11/22/202","N62509117","170","0.0%","92,787","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","81","0.0%","1,250,000","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","50","0.0%","333,333","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","36","0.0%","120,000","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","20","0.0%","333,333","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","20","0.0%","166,666","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","19","0.0%","500,000","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","16","0.0%","166,666","",""
"SIEN","SIENTRA INC","COM","82621J204","15","0.0%","10,000","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","13","0.0%","333,333","",""
"EUCRU","EUCRATES BIOMEDICAL ACQU COR","UNIT 10/23/2027","G3141W114","0","0.0%","1","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
