"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","BRIDGEBIO PHARMA INC","NOTE 2.500% 3/1","10806XAB8","58,890","1.2%","","80,000,000",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","54,521","1.1%","5,580,456","",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","54,417","1.1%","","57,791,000",""
"APR","APRIA INC","COM","03836A101","53,979","1.1%","1,655,795","",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","52,362","1.1%","3,282,912","",""
"GKOS","GLAUKOS CORP","COM","377322102","51,613","1.1%","1,161,414","",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","51,321","1.1%","","50,000,000",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","49,193","1.0%","3,513,756","",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","43,542","0.9%","","28,825,000",""
"MOH","MOLINA HEALTHCARE INC","COM","60855R100","42,937","0.9%","134,989","",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","41,089","0.9%","3,594,829","",""
"PTGX","PROTAGONIST THERAPEUTICS INC","COM","74366E102","40,115","0.8%","1,172,943","",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","37,113","0.8%","2,202,533","",""
"CYTK","CYTOKINETICS INC","COM NEW","23282W605","36,874","0.8%","809,000","",""
"PCRX","PACIRA BIOSCIENCES INC","COM","695127100","35,882","0.8%","596,338","",""
"","NOVAVAX INC","NOTE 3.750% 2/0","670002AB0","34,424","0.7%","","25,000,000",""
"XLO","XILIO THERAPEUTICS INC","COM","98422T100","33,739","0.7%","2,154,061","",""
"","AERIE PHARMACEUTICALS INC","COM","00771V108","32,959","0.7%","4,695,020","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","32,137","0.7%","3,296,107","",""
"NUVB","NUVATION BIO INC","COM CL A","67080N101","30,406","0.6%","3,577,233","",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","28,015","0.6%","452,000","",""
"ESPR","ESPERION THERAPEUTICS INC NE","COM","29664W105","25,000","0.5%","5,000,000","",""
"BCRX","BIOCRYST PHARMACEUTICALS INC","COM","09058V103","23,353","0.5%","1,686,140","",""
"VIVO","MERIDIAN BIOSCIENCE INC","COM","589584101","22,952","0.5%","1,125,083","",""
"FIGS","FIGS INC","CL A","30260D103","22,867","0.5%","829,707","",""
"PHVS","PHARVARIS N V","COM","N69605108","22,755","0.5%","1,581,331","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","22,441","0.5%","891,587","",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","22,058","0.5%","4,274,808","",""
"ALEC","ALECTOR INC","COM","014442107","21,790","0.5%","1,055,192","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","21,789","0.5%","","15,000,000",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","21,577","0.5%","","18,000,000",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","19,714","0.4%","2,449,000","",""
"PROF","PROFOUND MED CORP","COM NEW","74319B502","19,246","0.4%","1,713,797","",""
"RYTM","RHYTHM PHARMACEUTICALS INC","COM","76243J105","18,637","0.4%","1,867,467","",""
"OM","OUTSET MED INC","COM","690145107","18,465","0.4%","400,622","",""
"NVRO","NEVRO CORP","COM","64157F103","17,511","0.4%","216,000","",""
"KNTE","KINNATE BIOPHARMA INC","COM","49705R105","17,464","0.4%","985,568","",""
"BBIO","BRIDGEBIO PHARMA INC","COM","10806X102","16,680","0.3%","1,000,000","","call"
"ONCR","ONCORUS INC","COM","68236R103","16,595","0.3%","3,148,977","",""
"TERN","TERNS PHARMACEUTICALS INC","COM","880881107","16,586","0.3%","2,345,959","",""
"APLS","APELLIS PHARMACEUTICALS INC","COM","03753U106","16,227","0.3%","343,213","",""
"INZY","INOZYME PHARMA INC","COM","45790W108","15,991","0.3%","2,344,786","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","15,696","0.3%","1,600,000","",""
"KALV","KALVISTA PHARMACEUTICALS INC","COM","483497103","15,547","0.3%","1,175,131","",""
"","PTC THERAPEUTICS INC","NOTE 3.000% 8/1","69366JAB7","15,326","0.3%","","14,527,000",""
"APEN","APOLLO ENDOSURGERY INC","COM","03767D108","14,753","0.3%","1,750,000","",""
"VINC","VINCERX PHARMA INC","COM NEW","92731L106","14,055","0.3%","1,379,310","",""
"MRUS","MERUS N V","COM","N5749R100","13,897","0.3%","437,000","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","13,737","0.3%","1,601,000","",""
"MRTX","MIRATI THERAPEUTICS INC","COM","60468T105","12,909","0.3%","88,000","",""
"SRPT","SAREPTA THERAPEUTICS INC","COM","803607100","12,697","0.3%","141,000","",""
"PMVP","PMV PHARMACEUTICALS INC","COM","69353Y103","12,058","0.3%","522,000","",""
"BPMC","BLUEPRINT MEDICINES CORP","COM","09627Y109","11,782","0.2%","110,000","",""
"HOWL","WEREWOLF THERAPEUTICS INC","COM","95075A107","11,411","0.2%","958,125","",""
"QSI","QUANTUM SI INC","COM CL A","74765K105","11,018","0.2%","1,400,000","",""
"LIAN","LIANBIO","SPONSORED ADS","53000N108","10,982","0.2%","1,782,747","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","10,471","0.2%","455,262","",""
"CGEM","CULLINAN ONCOLOGY INC","COM","230031106","10,364","0.2%","671,690","",""
"MTAC","MEDTECH ACQUISITION CORP","COM CL A","58507N105","9,880","0.2%","999,999","",""
"SRSA","SARISSA CAPITAL ACQUISITN CO","CL A","G7823W102","9,790","0.2%","999,999","",""
"EUCR","EUCRATES BIOMEDICAL ACQU COR","SHS","G3141W106","9,760","0.2%","999,999","",""
"SNRH","SENIOR CONNECT ACQUISITN COR","COM CL A","81723H108","9,740","0.2%","1,000,000","",""
"REVH","REVOLUTION HEALTHCAR AQ CORP","CLASS A COM","76155Y108","9,740","0.2%","1,000,000","",""
"GRAY","GRAYBUG VISION INC","COM SHS","38942Q103","9,666","0.2%","5,281,713","",""
"ORTX","ORCHARD THERAPEUTICS PLC","ADS","68570P101","9,173","0.2%","6,949,416","",""
"AFIB","ACUTUS MED INC","COM","005111109","9,031","0.2%","2,648,386","",""
"WEAV","WEAVE COMMUNICATIONS INC","COM","94724R108","8,418","0.2%","554,519","",""
"","GUARDANT HEALTH INC","NOTE 11/1","40131MAB5","8,053","0.2%","","8,000,000",""
"PRVA","PRIVIA HEALTH GROUP INC","COM","74276R102","7,761","0.2%","300,000","",""
"TMPM","TURMERIC ACQUISITION CORP","CL A","G9127T108","7,365","0.2%","750,000","",""
"HYPR","HYPERFINE INC","COM CL A","44916K106","7,250","0.2%","1,000,000","",""
"IGNY","IGNYTE ACQUISITION CORP","COM","45175H106","7,062","0.1%","725,000","",""
"DH","DEFINITIVE HEALTHCARE CORP","CLASS A COM","24477E103","6,833","0.1%","250,000","",""
"ANNX","ANNEXON INC","COM","03589W102","6,709","0.1%","583,913","",""
"","BENEFITFOCUS INC","NOTE 1.250%12/1","08180DAB2","6,229","0.1%","6,500,000","",""
"AMWL","AMERICAN WELL CORP","CL A","03044L105","5,986","0.1%","991,115","",""
"BCAB","BIOATLA INC","COM","09077B104","5,673","0.1%","289,002","",""
"OHPA","ORION ACQUISITION CORP","COM CL A","68626A108","4,890","0.1%","500,000","",""
"DCTH","DELCATH SYS INC","COM NEW","24661P807","3,875","0.1%","500,000","",""
"PYXS","PYXIS ONCOLOGY INC","COMMON STOCK","747324101","3,420","0.1%","311,754","",""
"","NEOGENOMICS INC","NOTE 0.250% 1/1","64049MAB6","2,132","0.0%","","2,500,000",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","2,047","0.0%","1,000,000","",""
"GKOS","GLAUKOS CORP","COM","377322102","2,009","0.0%","45,200","","call"
"CABA","CABALETTA BIO INC","COM","12674W109","1,760","0.0%","464,252","",""
"WVE","WAVE LIFE SCIENCES LTD","SHS","Y95308105","1,735","0.0%","552,690","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","1,600","0.0%","1,142,552","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","941","0.0%","672,000","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","931","0.0%","733,333","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","863","0.0%","1,250,000","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","600","0.0%","333,333","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","401","0.0%","120,000","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","315","0.0%","166,666","",""
"IGNYW","IGNYTE ACQUISITION CORP","*W EXP 01/05/202","45175H114","279","0.0%","362,500","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","263","0.0%","500,000","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","193","0.0%","333,333","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","192","0.0%","166,666","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","174","0.0%","333,333","",""
"TMPMW","TURMERIC ACQUISITION CORP","*W EXP 10/08/202","G9127T124","170","0.0%","250,000","",""
"REVHW","REVOLUTION HEALTHCAR AQ CORP","*W EXP 12/31/202","76155Y116","150","0.0%","200,000","",""
"BDSI","BIODELIVERY SCIENCES INTL IN","COM","09060J106","91","0.0%","29,204","",""
"OHPAW","ORION ACQUISITION CORP","*W EXP 02/19/202","68626A116","81","0.0%","125,000","",""
"WINT","WINDTREE THERAPEUTICS INC","COM","97382D303","32","0.0%","20,148","",""
