"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","1LIFE HEALTHCARE INC","NOTE 3.000% 6/1","68269GAB3","39,151","0.8%","","40,599,000",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","38,503","0.8%","2,349,228","",""
"MRUS","MERUS N V","COM","N5749R100","36,825","0.8%","2,380,438","",""
"ANAB","ANAPTYSBIO INC","COM","032724106","36,004","0.7%","1,161,826","",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","35,162","0.7%","3,933,137","",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","34,615","0.7%","12,679,651","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","34,290","0.7%","2,966,345","",""
"PCVX","VAXCYTE INC","COM","92243G108","33,565","0.7%","700,000","",""
"IDYA","IDEAYA BIOSCIENCES INC","COM","45166A102","31,681","0.7%","1,743,628","",""
"IMGN","IMMUNOGEN INC","COM","45253H101","31,537","0.7%","6,358,314","",""
"","PTC THERAPEUTICS INC","NOTE 1.500% 9/1","69366JAD3","31,357","0.6%","","32,000,000",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","29,573","0.6%","2,383,000","",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","29,435","0.6%","3,581,000","",""
"TERN","TERNS PHARMACEUTICALS INC","COM","880881107","29,026","0.6%","2,851,287","",""
"NAMS","NEWAMSTERDAM PHARMA COMPANY","ORDINARY SHARES","N62509109","27,034","0.6%","2,480,199","",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","26,868","0.6%","1,033,000","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","26,015","0.5%","","30,000,000",""
"VIGL","VIGIL NEUROSCIENCE INC","COM","92673K108","25,650","0.5%","2,052,010","",""
"EOLS","EVOLUS INC","COM","30052C107","24,925","0.5%","3,319,000","",""
"OMI","OWENS & MINOR INC NEW","COM","690732102","23,025","0.5%","1,179,000","",""
"RAIN","RAIN ONCOLOGY INC","COM","75082Q105","22,370","0.5%","2,796,261","",""
"DNLI","DENALI THERAPEUTICS INC","COM","24823R105","22,248","0.5%","800,000","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","21,237","0.4%","891,587","",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","20,745","0.4%","964,033","",""
"TARS","TARSUS PHARMACEUTICALS INC","COM","87650L103","19,412","0.4%","1,324,214","",""
"APEN","APOLLO ENDOSURGERY INC","COM","03767D108","17,447","0.4%","1,750,000","",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","17,094","0.4%","","18,000,000",""
"PRME","PRIME MEDICINE INC","COM","74168J101","16,449","0.3%","885,314","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","15,992","0.3%","1,600,000","",""
"KRYS","KRYSTAL BIOTECH INC","COM","501147102","13,863","0.3%","175,000","",""
"INSM","INSMED INC","COM PAR $.01","457669307","13,269","0.3%","664,146","",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","12,966","0.3%","6,450,871","",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","12,927","0.3%","1,046,791","",""
"PCRX","PACIRA BIOSCIENCES INC","COM","695127100","11,274","0.2%","292,000","",""
"NUVB","NUVATION BIO INC","COM CL A","67080N101","11,241","0.2%","5,854,860","",""
"KZR","KEZAR LIFE SCIENCES INC","COM","49372L100","10,067","0.2%","1,430,000","",""
"ALEC","ALECTOR INC","COM","014442107","9,739","0.2%","1,055,192","",""
"CSTL","CASTLE BIOSCIENCES INC","COM","14843C105","6,406","0.1%","272,135","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","5,544","0.1%","3,360,052","",""
"","NEOGENOMICS INC","NOTE 1.250% 5/0","64049MAA8","5,471","0.1%","","6,500,000",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","4,960","0.1%","777,525","",""
"CABA","CABALETTA BIO INC","COM","12674W109","4,294","0.1%","464,252","",""
"AFIB","ACUTUS MED INC","COM","005111109","3,049","0.1%","2,651,667","",""
"ANNX","ANNEXON INC","COM","03589W102","3,018","0.1%","583,913","",""
"ABEO","ABEONA THERAPEUTICS INC","COM NEW","00289Y206","2,678","0.1%","869,565","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","2,650","0.1%","10,049,244","",""
"GRAY","GRAYBUG VISION INC","COMMON","38942Q103","2,640","0.1%","5,281,713","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","2,271","0.0%","455,262","",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","1,940","0.0%","1,000,000","",""
"ORTX","ORCHARD THERAPEUTICS PLC","SPON ADS","68570P101","1,172","0.0%","3,161,707","",""
"PEPG","PEPGEN INC","COM","713317105","802","0.0%","60,009","",""
"ONCR","ONCORUS INC","COM","68236R103","642","0.0%","2,536,186","",""
"SIEN","SIENTRA INC","COM","82621J105","543","0.0%","2,679,950","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","350","0.0%","672,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","250","0.0%","836,626","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","190","0.0%","733,333","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","137","0.0%","1,250,000","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","83","0.0%","333,333","",""
"NAMSW","NEWAMSTERDAM PHARMA COMPANY","*W EXP 11/22/202","N62509117","80","0.0%","92,787","",""
"PKBOW","PEAK BIO INC","*W EXP 10/26/202","70470P116","73","0.0%","362,500","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","48","0.0%","120,000","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","30","0.0%","500,000","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","25","0.0%","333,333","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","24","0.0%","166,666","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","18","0.0%","333,333","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","9","0.0%","166,666","",""
"EUCRU","EUCRATES BIOMEDICAL ACQU COR","UNIT 10/23/2027","G3141W114","0","0.0%","1","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
