"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","73,212","1.5%","","75,000,000",""
"IMGN","IMMUNOGEN INC","COM","45253H101","65,678","1.3%","13,740,205","",""
"","GUARDANT HEALTH INC","NOTE 11/1","40131MAB5","65,033","1.3%","","89,036,000",""
"CPRX","CATALYST PHARMACEUTICALS INC","COM","14888U101","62,816","1.3%","4,896,000","",""
"LUNG","PULMONX CORP","COM","745848101","61,990","1.2%","3,720,901","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","57,022","1.1%","2,891,587","",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","56,098","1.1%","","57,791,000",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","54,212","1.1%","16,941,357","",""
"","OAK STR HEALTH INC","NOTE 3/1","67181AAB3","52,497","1.0%","68,000,000","",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","51,398","1.0%","","37,638,000",""
"MRUS","MERUS N V","COM","N5749R100","50,507","1.0%","2,521,553","",""
"","NANOSTRING TECHNOLOGIES INC","NOTE 2.625% 3/0","63009RAD1","48,669","1.0%","","57,604,000",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","46,093","0.9%","2,491,490","",""
"HLVX","HILLEVAX INC","COM","43157M102","45,344","0.9%","2,653,231","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","44,258","0.9%","2,966,345","",""
"EOLS","EVOLUS INC","COM","30052C107","43,390","0.9%","5,390,103","",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","42,699","0.8%","2,032,335","",""
"","LIVONGO HEALTH INC","NOTE 0.875% 6/0","539183AA1","41,977","0.8%","","50,000,000",""
"","NEVRO CORP","NOTE 2.750% 4/0","64157FAC7","39,609","0.8%","","42,000,000",""
"CYTK","CYTOKINETICS INC","COM NEW","23282W605","39,395","0.8%","813,112","",""
"","1LIFE HEALTHCARE INC","NOTE 3.000% 6/1","68269GAB3","39,377","0.8%","","40,599,000",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","38,702","0.8%","3,933,137","",""
"","PTC THERAPEUTICS INC","NOTE 1.500% 9/1","69366JAD3","37,558","0.7%","","32,000,000",""
"ANAB","ANAPTYSBIO INC","COM","032724106","37,413","0.7%","1,466,600","",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","37,117","0.7%","8,692,561","",""
"CNC","CENTENE CORP DEL","COM","15135B101","36,104","0.7%","464,000","",""
"AMED","AMEDISYS INC","COM","023436108","34,822","0.7%","359,765","",""
"PHR","PHREESIA INC","COM","71944F106","34,602","0.7%","1,358,000","",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","32,535","0.6%","3,081,000","",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","30,313","0.6%","2,219,128","",""
"PHAT","PHATHOM PHARMACEUTICALS INC","COM","71722W107","26,757","0.5%","2,414,897","",""
"IDYA","IDEAYA BIOSCIENCES INC","COM","45166A102","26,015","0.5%","1,743,628","",""
"VERV","VERVE THERAPEUTICS INC","COM","92539P101","25,763","0.5%","750,000","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","25,533","0.5%","","30,000,000",""
"MOH","MOLINA HEALTHCARE INC","COM","60855R100","24,738","0.5%","75,000","",""
"","NOVAVAX INC","NOTE 3.750% 2/0","670002AB0","24,388","0.5%","","25,000,000",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","23,309","0.5%","816,994","",""
"TARS","TARSUS PHARMACEUTICALS INC","COM","87650L103","22,671","0.5%","1,324,214","",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","22,137","0.4%","2,532,792","",""
"INSM","INSMED INC","COM PAR $.01","457669307","20,689","0.4%","960,484","",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","20,671","0.4%","1,032,000","",""
"EHAB","ENHABIT INC","COM","29332G102","20,418","0.4%","1,454,279","",""
"VIGL","VIGIL NEUROSCIENCE INC","COM","92673K108","17,951","0.4%","2,054,794","",""
"ISEE","IVERIC BIO INC","COM","46583P102","17,940","0.4%","1,000,000","","call"
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","17,695","0.4%","7,078,019","",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","17,384","0.3%","","18,000,000",""
"TGTX","TG THERAPEUTICS INC","COM","88322Q108","15,851","0.3%","2,677,500","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","15,568","0.3%","1,600,000","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","15,557","0.3%","3,360,052","",""
"PCRX","PACIRA BIOSCIENCES INC","COM","695127100","15,531","0.3%","292,000","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","14,894","0.3%","16,973,488","",""
"RCKT","ROCKET PHARMACEUTICALS INC","COM","77313F106","13,885","0.3%","870,000","",""
"ANTX","AN2 THERAPEUTICS INC","COM","037326105","12,453","0.2%","716,538","",""
"KRYS","KRYSTAL BIOTECH INC","COM","501147102","12,198","0.2%","175,000","",""
"PACB","PACIFIC BIOSCIENCES CALIF IN","COM","69404D108","11,732","0.2%","2,021,000","",""
"ADCT","ADC THERAPEUTICS SA","SHS","H0036K147","11,521","0.2%","2,390,297","",""
"VCEL","VERICEL CORP","COM","92346J108","11,251","0.2%","484,947","",""
"TERN","TERNS PHARMACEUTICALS INC","COM","880881107","10,955","0.2%","1,860,000","",""
"EUCR","EUCRATES BIOMEDICAL ACQUISIT","SHS","G3141W106","10,020","0.2%","999,999","",""
"SRSA","SARISSA CAPITAL ACQUISITN CO","CL A","G7823W102","10,000","0.2%","999,999","",""
"ALEC","ALECTOR INC","COM","014442107","9,982","0.2%","1,055,192","",""
"SNRH","SENIOR CONNECT ACQUISITN COR","COM CL A","81723H108","9,945","0.2%","1,000,000","",""
"MTAC","MEDTECH ACQUISITION CORP","COM CL A","58507N105","9,930","0.2%","999,999","",""
"REVH","REVOLUTION HEALTHCAR AQ CORP","CLASS A COM","76155Y108","9,820","0.2%","1,000,000","",""
"APEN","APOLLO ENDOSURGERY INC","COM","03767D108","9,643","0.2%","1,750,000","",""
"PHVS","PHARVARIS N V","COM","N69605108","8,472","0.2%","1,104,552","",""
"PNT","POINT BIOPHARMA GLOBAL INC","COM","730541109","7,730","0.2%","1,000,000","",""
"TMPM","TURMERIC ACQUISITION CORP","CL A","G9127T108","7,500","0.1%","750,000","",""
"IGNY","IGNYTE ACQUISITION CORP","COM","45175H106","7,236","0.1%","725,000","",""
"PEPG","PEPGEN INC","COM","713317105","6,767","0.1%","745,293","",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","6,671","0.1%","777,525","",""
"INZY","INOZYME PHARMA INC","COM","45790W108","5,602","0.1%","2,090,436","",""
"","NEOGENOMICS INC","NOTE 1.250% 5/0","64049MAA8","5,571","0.1%","","6,500,000",""
"GRAY","GRAYBUG VISION INC","COMMON","38942Q103","4,967","0.1%","5,281,713","",""
"OHPA","ORION ACQUISITION CORP","COM CL A","68626A108","4,923","0.1%","500,000","",""
"HOWL","WEREWOLF THERAPEUTICS INC","COM","95075A107","4,321","0.1%","958,125","",""
"QSI","QUANTUM SI INC","COM CL A","74765K105","3,850","0.1%","1,400,000","",""
"ANNX","ANNEXON INC","COM","03589W102","3,609","0.1%","583,913","",""
"ORTX","ORCHARD THERAPEUTICS PLC","SPON ADS","68570P101","3,475","0.1%","6,949,416","",""
"KNTE","KINNATE BIOPHARMA INC","COM","49705R105","2,988","0.1%","250,000","",""
"PROF","PROFOUND MED CORP","COM NEW","74319B502","2,959","0.1%","732,543","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","2,868","0.1%","455,262","",""
"ONCR","ONCORUS INC","COM","68236R103","2,677","0.1%","3,148,977","",""
"AFIB","ACUTUS MED INC","COM","005111109","2,333","0.0%","2,651,667","",""
"DCTH","DELCATH SYS INC","COM NEW","24661P807","1,555","0.0%","486,068","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","1,263","0.0%","672,000","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","691","0.0%","1,250,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","649","0.0%","836,626","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","616","0.0%","733,333","",""
"NUVB","NUVATION BIO INC","COM CL A","67080N101","550","0.0%","245,360","",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","390","0.0%","1,000,000","",""
"CABA","CABALETTA BIO INC","COM","12674W109","302","0.0%","464,252","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","177","0.0%","333,333","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","53","0.0%","120,000","",""
"IGNYW","IGNYTE ACQUISITION CORP","*W EXP 01/05/202","45175H114","45","0.0%","362,500","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","33","0.0%","166,666","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","31","0.0%","166,666","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","20","0.0%","333,333","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","13","0.0%","333,333","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","10","0.0%","500,000","",""
"REVHW","REVOLUTION HEALTHCAR AQ CORP","*W EXP 12/31/202","76155Y116","9","0.0%","200,000","",""
"TMPMW","TURMERIC ACQUISITION CORP","*W EXP 10/08/202","G9127T124","7","0.0%","250,000","",""
"SRSAW","SARISSA CAPITAL ACQUISITN CO","*W EXP 10/23/202","G7823W110","7","0.0%","333,333","",""
"OHPAW","ORION ACQUISITION CORP","*W EXP 02/19/202","68626A116","7","0.0%","125,000","",""
"WINT","WINDTREE THERAPEUTICS INC","COM","97382D303","6","0.0%","20,148","",""
"SRSAU","SARISSA CAPITAL ACQUISITN CO","UNIT 10/23/2027","G7823W128","0","0.0%","1","",""
"EUCRU","EUCRATES BIOMEDICAL ACQU COR","UNIT 10/23/2027","G3141W114","0","0.0%","1","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
"GKOS","GLAUKOS CORP","COM","377322102","0","0.0%","0","",""
