"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"REVH","REVOLUTION HEALTHCAR AQ CORP","CLASS A COM","76155Y108","9,770","0.2%","1,000,000","",""
"PEPG","PEPGEN INC","COM","713317105","9,470","0.2%","953,626","",""
"TMPM","TURMERIC ACQUISITION CORP","CL A","G9127T108","7,448","0.2%","750,000","",""
"NKTX","NKARTA INC","COM","65487U108","7,392","0.2%","600,000","",""
"IGNY","IGNYTE ACQUISITION CORP","COM","45175H106","7,149","0.1%","725,000","",""
"APEN","APOLLO ENDOSURGERY INC","COM","03767D108","6,388","0.1%","1,750,000","",""
"XLO","XILIO THERAPEUTICS INC","COM","98422T100","6,070","0.1%","2,078,692","",""
"OM","OUTSET MED INC","COM","690145107","5,953","0.1%","400,622","",""
"","BENEFITFOCUS INC","NOTE 1.250%12/1","08180DAB2","5,907","0.1%","","6,500,000",""
"GRAY","GRAYBUG VISION INC","COM SHS","38942Q103","5,757","0.1%","5,281,713","",""
"ANTX","AN2 THERAPEUTICS INC","COM","037326105","5,553","0.1%","716,538","",""
"","NEOGENOMICS INC","NOTE 1.250% 5/0","64049MAA8","5,443","0.1%","","6,500,000",""
"OHPA","ORION ACQUISITION CORP","COM CL A","68626A108","4,900","0.1%","500,000","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","4,188","0.1%","455,262","",""
"ORTX","ORCHARD THERAPEUTICS PLC","ADS","68570P101","4,060","0.1%","6,949,416","",""
"ONCR","ONCORUS INC","COM","68236R103","3,968","0.1%","3,148,977","",""
"HOWL","WEREWOLF THERAPEUTICS INC","COM","95075A107","3,919","0.1%","958,125","",""
"QSI","QUANTUM SI INC","COM CL A","74765K105","3,248","0.1%","1,400,000","",""
"KNTE","KINNATE BIOPHARMA INC","COM","49705R105","3,153","0.1%","250,000","",""
"AFIB","ACUTUS MED INC","COM","005111109","2,966","0.1%","2,648,386","",""
"ANNX","ANNEXON INC","COM","03589W102","2,201","0.0%","583,913","",""
"DCTH","DELCATH SYS INC","COM NEW","24661P807","1,995","0.0%","500,000","",""
"ETNB","89BIO INC","COM","282559103","1,630","0.0%","506,100","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","1,280","0.0%","836,626","",""
"RYTM","RHYTHM PHARMACEUTICALS INC","COM","76243J105","1,208","0.0%","291,005","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","625","0.0%","1,250,000","",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","600","0.0%","1,000,000","",""
"CABA","CABALETTA BIO INC","COM","12674W109","492","0.0%","464,252","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","484","0.0%","672,000","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","296","0.0%","733,333","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","188","0.0%","333,333","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","91","0.0%","120,000","",""
"IGNYW","IGNYTE ACQUISITION CORP","*W EXP 01/05/202","45175H114","76","0.0%","362,500","",""
"REVHW","REVOLUTION HEALTHCAR AQ CORP","*W EXP 12/31/202","76155Y116","49","0.0%","200,000","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","47","0.0%","166,666","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","35","0.0%","500,000","",""
"SRSAW","SARISSA CAPITAL ACQUISITN CO","*W EXP 10/23/202","G7823W110","33","0.0%","333,333","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","32","0.0%","166,666","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","28","0.0%","333,333","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","22","0.0%","333,333","",""
"TMPMW","TURMERIC ACQUISITION CORP","*W EXP 10/08/202","G9127T124","19","0.0%","250,000","",""
"OHPAW","ORION ACQUISITION CORP","*W EXP 02/19/202","68626A116","11","0.0%","125,000","",""
"WINT","WINDTREE THERAPEUTICS INC","COM","97382D303","8","0.0%","20,148","",""
"SRSAU","SARISSA CAPITAL ACQUISITN CO","UNIT 10/23/2027","G7823W128","0","0.0%","1","",""
"EUCRU","EUCRATES BIOMEDICAL ACQU COR","UNIT 10/23/2027","G3141W114","0","0.0%","1","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
