"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","51,731","1.2%","5,580,456","",""
"HZNP","HORIZON THERAPEUTICS PUB L","SHS","G46188101","48,923","1.1%","465,000","",""
"","BRIDGEBIO PHARMA INC","NOTE 2.500% 3/1","10806XAB8","47,402","1.1%","","80,000,000",""
"CNC","CENTENE CORP DEL","COM","15135B101","46,624","1.0%","553,800","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","45,508","1.0%","765,489","",""
"MOH","MOLINA HEALTHCARE INC","COM","60855R100","45,031","1.0%","134,989","",""
"","AERIE PHARMACEUTICALS INC","COM","00771V108","42,725","1.0%","4,695,020","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","42,515","1.0%","13,848,488","",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","41,722","0.9%","6,612,019","",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","41,341","0.9%","3,594,829","",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","38,151","0.9%","3,933,137","",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","37,922","0.8%","5,379,000","",""
"CYTK","CYTOKINETICS INC","COM NEW","23282W605","35,069","0.8%","952,703","",""
"","1LIFE HEALTHCARE INC","NOTE 3.000% 6/1","68269GAB3","34,716","0.8%","","40,000,000",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","32,137","0.7%","3,296,107","",""
"PHVS","PHARVARIS N V","COM","N69605108","28,600","0.6%","1,577,078","",""
"","NOVAVAX INC","NOTE 3.750% 2/0","670002AB0","26,777","0.6%","","25,000,000",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","25,269","0.6%","3,672,808","",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","23,613","0.5%","5,830,249","",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","22,744","0.5%","891,587","",""
"MRTX","MIRATI THERAPEUTICS INC","COM","60468T105","22,199","0.5%","270,000","",""
"GKOS","GLAUKOS CORP","COM","377322102","21,365","0.5%","369,514","",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","21,095","0.5%","","18,000,000",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","20,698","0.5%","2,086,449","",""
"GDRX","GOODRX HLDGS INC","COM CL A","38246G108","18,926","0.4%","979,106","",""
"NUVB","NUVATION BIO INC","COM CL A","67080N101","18,816","0.4%","3,577,233","",""
"OM","OUTSET MED INC","COM","690145107","18,188","0.4%","400,622","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","17,171","0.4%","","15,000,000",""
"IMGN","IMMUNOGEN INC","COM","45253H101","16,520","0.4%","3,470,675","",""
"BCRX","BIOCRYST PHARMACEUTICALS INC","COM","09058V103","16,455","0.4%","1,012,000","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","15,544","0.3%","1,600,000","",""
"PROF","PROFOUND MED CORP","COM NEW","74319B502","15,424","0.3%","1,713,797","",""
"","PTC THERAPEUTICS INC","NOTE 3.000% 8/1","69366JAB7","15,076","0.3%","","14,527,000",""
"ALEC","ALECTOR INC","COM","014442107","15,036","0.3%","1,055,192","",""
"XLO","XILIO THERAPEUTICS INC","COM","98422T100","14,696","0.3%","2,078,692","",""
"","OAK STR HEALTH INC","NOTE 3/1","67181AAB3","14,316","0.3%","","18,000,000",""
"SWTX","SPRINGWORKS THERAPEUTICS INC","COM","85205L107","14,109","0.3%","249,988","",""
"EOLS","EVOLUS INC","COM","30052C107","13,792","0.3%","1,229,234","",""
"KALV","KALVISTA PHARMACEUTICALS INC","COM","483497103","12,241","0.3%","830,472","",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","11,991","0.3%","1,601,000","",""
"MRUS","MERUS N V","COM","N5749R100","11,554","0.3%","437,000","",""
"KNTE","KINNATE BIOPHARMA INC","COM","49705R105","11,097","0.2%","985,568","",""
"APEN","APOLLO ENDOSURGERY INC","COM","03767D108","10,588","0.2%","1,750,000","",""
"SRSA","SARISSA CAPITAL ACQUISITN CO","CL A","G7823W102","9,900","0.2%","999,999","",""
"EUCR","EUCRATES BIOMEDICAL ACQU COR","SHS","G3141W106","9,840","0.2%","999,999","",""
"SNRH","SENIOR CONNECT ACQUISITN COR","COM CL A","81723H108","9,820","0.2%","1,000,000","",""
"REVH","REVOLUTION HEALTHCAR AQ CORP","CLASS A COM","76155Y108","9,810","0.2%","1,000,000","",""
"MTAC","MEDTECH ACQUISITION CORP","COM CL A","58507N105","9,800","0.2%","999,999","",""
"INZY","INOZYME PHARMA INC","COM","45790W108","9,590","0.2%","2,344,786","",""
"ANTX","AN2 THERAPEUTICS INC","COM","037326105","8,803","0.2%","584,136","",""
"NYXH","NYXOAH S A","SHS","B6S7WD106","8,714","0.2%","455,262","",""
"TMPM","TURMERIC ACQUISITION CORP","CL A","G9127T108","7,388","0.2%","750,000","",""
"INSM","INSMED INC","COM PAR $.01","457669307","7,157","0.2%","304,572","",""
"IGNY","IGNYTE ACQUISITION CORP","COM","45175H106","7,134","0.2%","725,000","",""
"TERN","TERNS PHARMACEUTICALS INC","COM","880881107","6,967","0.2%","2,345,959","",""
"QSI","QUANTUM SI INC","COM CL A","74765K105","6,552","0.1%","1,400,000","",""
"GRAY","GRAYBUG VISION INC","COM SHS","38942Q103","6,497","0.1%","5,281,713","",""
"","BENEFITFOCUS INC","NOTE 1.250%12/1","08180DAB2","6,311","0.1%","6,500,000","",""
"ONCR","ONCORUS INC","COM","68236R103","5,605","0.1%","3,148,977","",""
"VINC","VINCERX PHARMA INC","COM NEW","92731L106","5,517","0.1%","1,379,310","",""
"ORTX","ORCHARD THERAPEUTICS PLC","ADS","68570P101","4,948","0.1%","6,949,416","",""
"OHPA","ORION ACQUISITION CORP","COM CL A","68626A108","4,885","0.1%","500,000","",""
"HOWL","WEREWOLF THERAPEUTICS INC","COM","95075A107","4,216","0.1%","958,125","",""
"CGEM","CULLINAN ONCOLOGY INC","COM","230031106","3,932","0.1%","375,585","",""
"AFIB","ACUTUS MED INC","COM","005111109","3,681","0.1%","2,648,386","",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","3,638","0.1%","238,865","",""
"RYTM","RHYTHM PHARMACEUTICALS INC","COM","76243J105","3,352","0.1%","291,005","",""
"DCTH","DELCATH SYS INC","COM NEW","24661P807","3,200","0.1%","500,000","",""
"GKOS","GLAUKOS CORP","COM","377322102","2,613","0.1%","45,200","","call"
"","NEOGENOMICS INC","NOTE 0.250% 1/1","64049MAB6","1,666","0.0%","","2,500,000",""
"AMWL","AMERICAN WELL CORP","CL A","03044L105","1,647","0.0%","391,115","",""
"ANNX","ANNEXON INC","COM","03589W102","1,594","0.0%","583,913","",""
"BCAB","BIOATLA INC","COM","09077B104","1,445","0.0%","289,002","",""
"TOIIW","THE ONCOLOGY INSTITUTE INC","*W EXP 11/15/202","68236X118","1,438","0.0%","1,250,000","",""
"CMAXW","CAREMAX INC","*W EXP 06/08/202","14171W111","1,277","0.0%","672,000","",""
"MDVL","MEDAVAIL HOLDINGS INC","COM","58406B103","1,110","0.0%","1,142,552","",""
"CABA","CABALETTA BIO INC","COM","12674W109","942","0.0%","464,252","",""
"ROIVW","ROIVANT SCIENCES LTD","*W EXP 09/30/202","G76279119","880","0.0%","1,000,000","",""
"BFLY/WS","BUTTERFLY NETWORK INC","*W EXP 02/12/202","124155110","748","0.0%","733,333","",""
"QSIAW","QUANTUM SI INC","*W EXP 06/10/202","74765K113","383","0.0%","333,333","",""
"SLGCW","SOMALOGIC INC","*W EXP 08/31/202","83444K113","257","0.0%","120,000","",""
"NUVB/WS","NUVATION BIO INC","*W EXP 07/07/202","67080N119","135","0.0%","166,666","",""
"IGNYW","IGNYTE ACQUISITION CORP","*W EXP 01/05/202","45175H114","132","0.0%","362,500","",""
"SRSAW","SARISSA CAPITAL ACQUISITN CO","*W EXP 10/23/202","G7823W110","120","0.0%","333,333","",""
"SNRHW","SENIOR CONNECT ACQUISITN COR","*W EXP 12/31/202","81723H116","90","0.0%","500,000","",""
"REVHW","REVOLUTION HEALTHCAR AQ CORP","*W EXP 12/31/202","76155Y116","90","0.0%","200,000","",""
"MTACW","MEDTECH ACQUISITION CORP","*W EXP 12/22/202","58507N113","85","0.0%","333,333","",""
"TMPMW","TURMERIC ACQUISITION CORP","*W EXP 10/08/202","G9127T124","82","0.0%","250,000","",""
"EUCRW","EUCRATES BIOMEDICAL ACQU COR","*W EXP 10/23/202","G3141W122","62","0.0%","333,333","",""
"SRZNW","SURROZEN INC","*W EXP 08/01/203","86889P117","42","0.0%","166,666","",""
"OHPAW","ORION ACQUISITION CORP","*W EXP 02/19/202","68626A116","39","0.0%","125,000","",""
"WINT","WINDTREE THERAPEUTICS INC","COM","97382D303","23","0.0%","20,148","",""
"PMVP","PMV PHARMACEUTICALS INC","COM","69353Y103","10","0.0%","470","",""
"SRSAU","SARISSA CAPITAL ACQUISITN CO","UNIT 10/23/2027","G7823W128","0","0.0%","1","",""
"EUCRU","EUCRATES BIOMEDICAL ACQU COR","UNIT 10/23/2027","G3141W114","0","0.0%","1","",""
"MTACU","MEDTECH ACQUISITION CORP","UNIT 12/18/2025","58507N204","0","0.0%","1","",""
